date,code,open,high,low,close,volume
2020-04-20,sh.688126,9.5000,11.0900,8.9600,10.9100,320011200
2020-04-21,sh.688126,10.2000,11.0600,10.0900,10.3800,212826350
2020-04-22,sh.688126,10.6000,12.3100,10.6000,11.8000,197706942
2020-04-23,sh.688126,11.7100,12.1400,11.1100,11.2700,155196819
2020-04-24,sh.688126,11.0600,11.5600,10.7100,11.3000,113148394
2020-04-27,sh.688126,11.3800,12.5000,11.1600,11.7600,127799772
2020-04-28,sh.688126,11.5800,13.5800,11.5700,13.5000,163314312
2020-04-29,sh.688126,13.6500,13.8400,12.9100,13.2000,107382892
2020-04-30,sh.688126,13.4000,15.8400,13.2100,15.8400,119720905
2020-05-06,sh.688126,16.1000,19.0100,16.1000,19.0100,142911751
2020-05-07,sh.688126,19.4200,20.1000,17.2000,17.6600,205797885
2020-05-08,sh.688126,17.3800,18.3500,16.7500,17.7200,152336863
2020-05-11,sh.688126,17.8100,19.0100,17.2300,18.2700,129599006
2020-05-12,sh.688126,17.8600,18.1300,16.7600,17.6800,115095300
2020-05-13,sh.688126,17.4900,19.0700,17.4100,18.2800,119068164
2020-05-14,sh.688126,18.4800,21.8000,18.1200,19.2000,163063496
2020-05-15,sh.688126,19.4500,20.5600,18.9000,19.9400,131032744
2020-05-18,sh.688126,21.0100,21.8800,20.1900,20.6000,135487000
2020-05-19,sh.688126,20.5000,22.7000,20.3500,22.7000,126978942
2020-05-20,sh.688126,22.0000,24.6800,21.9700,23.5600,133861034
2020-05-21,sh.688126,23.8900,24.7000,21.5700,22.4900,134946217
2020-05-22,sh.688126,22.0700,23.1000,21.5200,22.7600,106578844
2020-05-25,sh.688126,22.9000,23.5200,22.1000,22.1800,99515131
2020-05-26,sh.688126,22.3600,26.2200,22.3100,26.2100,148434626
2020-05-27,sh.688126,26.5000,29.3500,26.0000,27.7000,140822318
2020-05-28,sh.688126,27.0000,31.4500,26.3000,31.3200,128464138
2020-05-29,sh.688126,30.6000,34.7500,29.5000,30.8000,148400043
2020-06-01,sh.688126,31.4500,33.6500,31.4500,33.5600,120327195
2020-06-02,sh.688126,34.5300,36.3400,33.1500,36.3000,100028119
2020-06-03,sh.688126,35.0500,37.9900,34.4000,35.2200,107151980
2020-06-04,sh.688126,34.7500,35.5800,29.8500,30.3700,153057533
2020-06-05,sh.688126,31.0000,31.9600,29.0400,30.5900,125904728
2020-06-08,sh.688126,30.7700,30.7700,27.9200,28.3900,116940527
2020-06-09,sh.688126,28.4000,32.3800,28.2000,32.1000,130093401
2020-06-10,sh.688126,31.4000,33.2800,30.8200,32.4400,111049477
2020-06-11,sh.688126,32.4900,34.9000,32.2300,33.6300,108406193
2020-06-12,sh.688126,32.8900,33.9700,31.8000,32.4000,90723836
2020-06-15,sh.688126,31.8000,32.2300,30.0200,30.9000,77652606
2020-06-16,sh.688126,31.4800,33.1200,31.2700,31.5500,82994462
2020-06-17,sh.688126,31.6700,31.6700,28.9000,30.2200,91585333
2020-06-18,sh.688126,29.6600,31.6000,29.6600,29.8700,82958023
2020-06-19,sh.688126,29.3100,30.7700,28.6200,29.8700,77637919
2020-06-22,sh.688126,29.7300,33.9700,29.6000,32.9700,124996634
2020-06-23,sh.688126,32.6600,33.2000,32.0900,32.3900,67095254
2020-06-24,sh.688126,32.8200,35.0900,32.8200,33.2000,101200319
2020-06-29,sh.688126,33.4300,34.2200,32.4000,34.2200,71455423
2020-06-30,sh.688126,34.7900,35.9000,33.8900,34.2800,79922882
2020-07-01,sh.688126,33.9800,34.2700,32.4200,33.0300,74981718
2020-07-02,sh.688126,32.8000,34.0000,32.6700,33.1100,64103923
